names	wls_fam	wls_gen	e	hh	lat	lon	pop	wcode	iso	I	you	we	this	that	who	what	not	all	many	one	two	big	long	small	woman	man	person	fish	bird	dog	louse	tree	seed	leaf	root	bark	skin	flesh	blood	bone	grease	egg	horn	tail	feather	hair	head	ear	eye	nose	mouth	tooth	tongue	claw	foot	knee	hand	belly	neck	breast	heart	liver	drink	eat	bite	see	hear	know	sleep	die	kill	swim	fly	walk	come	lie	sit	stand	give	say	sun	moon	star	water	rain	stone	sand	earth	cloud	smoke	fire	ash	burn	path	mountain	red	green	yellow	white	black	night	hot	cold	full	new	good	round	dry	name
GUJARATI	IE	INDIC	Indo-European,Indo-Iranian,Indo-Aryan,IntermediateDivisions,Western,Gujarati	Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Middle-ModernIndo-Aryan,ContinentalIndo-Aryan,MidlandsIndo-Aryan,Apabhramsic,Gujarati-Rajasthani,Gujaratic	23.00	72.00	56933450	guj	guj	me*, hu*	tu*	apne	XXX	XXX	XXX	XXX	XXX	XXX	XXX	ek	be	XXX	XXX	XXX	XXX	XXX	T3n, vy~3kti	maTh~li	XXX	Svana, kutru*	Tu	gulmor, Tiku	XXX	p3tu*, pan	XXX	XXX	kh~al, Tamdi	XXX	rkt3, rudh~ir	hadku*	XXX	XXX	SiNgdu*	XXX	XXX	XXX	XXX	kan	n3y3n, akh~	nak	XXX	da*t	Tibh~	XXX	XXX	goth~3n, gh~u*t3n	hath~	XXX	XXX	st3n	XXX	y3krut	pi	XXX	XXX	dekh~, bh~al	sa*bh~3l	XXX	XXX	m3r	XXX	XXX	XXX	XXX	av	XXX	XXX	XXX	XXX	XXX	sur3T, sury~3	XXX	taro	pani	XXX	p3th~ro, p3hano	XXX	XXX	XXX	XXX	3gni	XXX	XXX	p3nth~	p3rv3t, p3had	XXX	XXX	XXX	XXX	XXX	r3Tni, rat	XXX	XXX	t3ko3k, Tikar	n3vu*, nut3n	XXX	XXX	XXX	nam
GURBET_ROMANI	IE	INDIC	Indo-European,Indo-Iranian,Indo-Aryan,IntermediateDivisions,Western,Romani,Vlax	Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Middle-ModernIndo-Aryan,ContinentalIndo-Aryan,MidlandsIndo-Aryan,Shaurasenic,Indo-AryanCentralzone,Romani	43.35	19.95	546980	rka	rmy	me	tu	amen	XXX	XXX	XXX	XXX	XXX	XXX	XXX	yek, yekh~	duy	XXX	XXX	XXX	XXX	XXX	jeno	maCo, payali	XXX	juSol, jukh~el	juv	kaS	XXX	patrin	XXX	XXX	koZa, morSi	XXX	rat	%kokalo	XXX	XXX	Sing~, Sing~oro	XXX	XXX	XXX	XXX	kan	yakh~	nakh~	XXX	dand~	Ch~ib, Cib	XXX	XXX	Cang~	va	XXX	XXX	CuCka, CuCi	XXX	buSe, kalindy$o	piyel, py~el	XXX	XXX	diSh~ol, dikh~el	asunel, kand~el	XXX	XXX	merel	XXX	XXX	XXX	XXX	avel, resol	XXX	XXX	XXX	XXX	XXX	kh~am	XXX	Ceharin, Cerayin	kh~aplo, pay	XXX	ar, bar	XXX	XXX	XXX	XXX	yag	XXX	XXX	%drom, prSa	play, playin	XXX	XXX	XXX	XXX	XXX	yrat, raSi	XXX	XXX	ph~erdino	nevo	XXX	XXX	XXX	alav, nav
HADOTI	IE	INDIC	Indo-European,Indo-Iranian,Indo-Aryan,IntermediateDivisions,Western,Rajasthani,Unclassified	Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Middle-ModernIndo-Aryan,ContinentalIndo-Aryan,MidlandsIndo-Aryan,Apabhramsic,Gujarati-Rajasthani,Rajasthani,EasternRajasthani	25.44	75.64	2940000		hoj	mu*, mh~u*	tu, th~u	mh~3, mh~a*	XXX	XXX	XXX	XXX	XXX	XXX	XXX	ek	do	XXX	XXX	XXX	XXX	XXX	m3n3kh~	m3Ch~i	XXX	g3nd~3kro	XXX	b3r3kh~, rukh~	XXX	pan	XXX	XXX	kh~aL	XXX	loi	had	XXX	XXX	bumado	XXX	XXX	XXX	XXX	kan	a*kh~	na*k	XXX	dad	j3by~an	XXX	XXX	godo	hath~	XXX	XXX	Ch~ati	XXX	XXX	pi	XXX	XXX	dikh~	sun3	XXX	XXX	m3r	XXX	XXX	XXX	XXX	a	XXX	XXX	XXX	XXX	XXX	sur3j	XXX	tara	pani	XXX	bh~ato	XXX	XXX	XXX	XXX	ag	XXX	XXX	s3d3k, g3Lo	duN3r	XXX	XXX	XXX	XXX	XXX	rat	XXX	XXX	puro	nuyo	XXX	XXX	XXX	na*w
HALABI	IE	INDIC	Indo-European,Indo-Iranian,Indo-Aryan,OuterLanguages,Eastern,Bengali-Assamese	Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Middle-ModernIndo-Aryan,ContinentalIndo-Aryan,Indo-AryanEasternzone,Halbic	21.00	81.00	966000	hlb	hlb	me	tui	hami	XXX	XXX	XXX	XXX	XXX	XXX	XXX	ek	dui	XXX	XXX	XXX	XXX	XXX	bita	m3Cri	XXX	kukur	okh~ni	hira, rukh~co	XXX	pan	XXX	XXX	camdi	XXX	r3k3t	hada	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	akh~i, aikh~	nak	XXX	dat	jib, jibh~	XXX	XXX	XXX	hat	XXX	XXX	dud	XXX	XXX	piu	XXX	XXX	d3kh~	sun	XXX	XXX	m3r	XXX	XXX	XXX	XXX	a, e	XXX	XXX	XXX	XXX	XXX	ber	XXX	tara	pani	XXX	p3kh~na	XXX	XXX	XXX	XXX	agi	XXX	XXX	mar3g	doNri	XXX	XXX	XXX	XXX	XXX	rati	XXX	XXX	XXX	n3wa	XXX	XXX	XXX	nam
HINDI_2	IE	INDIC	Indo-European,Indo-Iranian,Indo-Aryan,WesternHindi,Hindustani	Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Middle-ModernIndo-Aryan,ContinentalIndo-Aryan,MidlandsIndo-Aryan,Shaurasenic,Indo-AryanCentralzone,WesternHindi,Hindustani	25.00	77.00	342219070	hin	hin	mE	tu	h3m	y3h	v3h	kon	kya	n3, n3hi	s3b, s3b kuCh~	XXX	ek	do	b3ra	l3mba, dirgh~	k3m, Ch~ota	or3t, m3hila, stri	ad3mi, puruS	man3v, insan, m3nuSy	m3Ch~li, m3tsy	p3kSi, Ciriya	Swan, kutta	ju	per, wrkS	bij	p3tr, p3tta	mul	Ch~al, v3lk3l	C3rm, tv3Ca	mans, goSt	l3hu, xun	3sth~i	v3sa, C3rbi	3nda	siNg, viSan	puCh~	p3r, p3Nkh~	bal	sir, SirS	kan, k3rn	akh~, C3kSu	nak, nasa	mukh~, muh	d3nt, dat	jibh~, z3ban, jihva	n3kh~, naxun	C3r3n, pav	janu, gh~utna	hath~, h3st	ud3r	g3la, g3rd3n	kuC, st3n	dil, hrd3y	jig3r, y3krt	pina	kh~ana	katna	dekh~na	sunna	janna, malum hona	sona	m3r3na	marna, mar3 dal3na	tErna	urna	C3lna	ana	letna	bEth~na	kh~3ra hon3	dena	k3hna, b3tana	r3vi, sur3j, sury	Cad, C3ndr	tara, sitara	j3l, pani	meh, bariS	p3th~th~3r	ret, balu	bh~umi, z3min	megh~, 3bh~r	dh~ua, dh~umr	ag, atiS, 3gni	rakh~	j3lna	p3th~, p3g3d3ndi	p3har	lal, surx	h3ra	pila, z3rd	s3fed	kala, syah	rat, ratri	g3r3m	s3rd	bh~3ra, pura	n3ya	3tCh~a	gol, w3rtul	sukh~a, xuSk	nam
KALAMI	IE	INDIC	Indo-European,Indo-Iranian,Indo-Aryan,OuterLanguages,Northwestern,Dardic,Kohistani	Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Middle-ModernIndo-Aryan,EasternDardic,NuclearEasternDardic,Kohistani,Dir-SwatKohistani	35.50	72.50	96400	kal	gwc	ya	tu	m3	XXX	XXX	XXX	XXX	XXX	XXX	XXX	3ykh~	du	XXX	XXX	XXX	XXX	XXX	miS	m3sin	XXX	kuCur	XXX	t3m	XXX	p3lL	XXX	XXX	C3m	XXX	r3th~	had	XXX	XXX	SiN7	XXX	XXX	XXX	XXX	ky~En	EC	nazor	XXX	d3n	jib	XXX	XXX	XXX	th~E7r	XXX	XXX	CiS	XXX	XXX	pon	XXX	XXX	biS	buj	XXX	XXX	mar	XXX	XXX	XXX	XXX	yei	XXX	XXX	XXX	XXX	XXX	sir	XXX	ta7r	u	XXX	b3th~	XXX	XXX	XXX	XXX	3Ngar	XXX	XXX	p3n	XXX	XXX	XXX	XXX	XXX	XXX	rot	XXX	XXX	XXX	n3m	XXX	XXX	XXX	nom
KALKOTI	IE	INDIC	Indo-European,Indo-Iranian,Indo-Aryan,OuterLanguages,Northwestern,Dardic,Shina	Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Middle-ModernIndo-Aryan,EasternDardic,NuclearEasternDardic,Shinaic,WesternShinaic,Dangari	35.50	72.50	6600		xka	mo	tu	bE	XXX	XXX	XXX	XXX	XXX	XXX	XXX	aykh~	du	XXX	XXX	XXX	XXX	XXX	meS	mE7cin, mEsin	XXX	kuCur	XXX	t3m, lo	XXX	path~	XXX	XXX	Cam	XXX	rath~	3d	XXX	XXX	SiN	XXX	XXX	XXX	XXX	kan	iSi	Sumur	XXX	dan	jib	XXX	XXX	XXX	b3kh~in	XXX	XXX	CiC, sina	XXX	XXX	pil	XXX	XXX	nal	buj	XXX	XXX	mur	XXX	XXX	XXX	XXX	yE, yal	XXX	XXX	XXX	XXX	XXX	sir	XXX	ta7r	be, wE7	XXX	bat	XXX	XXX	XXX	XXX	3Ngar	XXX	XXX	pan	XXX	XXX	XXX	XXX	XXX	XXX	rat	XXX	XXX	XXX	n3m	XXX	XXX	XXX	na7m, nam
KASHMIRI	IE	INDIC	Indo-European,Indo-Iranian,Indo-Aryan,OuterLanguages,Northwestern,Dardic,Kashmiri	Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Middle-ModernIndo-Aryan,EasternDardic,Kashmiric	34.00	76.00	7132780	kas	kas	boh	tuhi, ca	as3	XXX	XXX	XXX	XXX	XXX	XXX	XXX	ak	zah	XXX	XXX	XXX	XXX	XXX	zon, Sakh~s	gad	XXX	hun, hin3	zauv	kul	XXX	panbarag, patar	XXX	XXX	musla, post	XXX	rath~	adij	XXX	XXX	heN	XXX	XXX	XXX	XXX	kan	aTh~	nast	XXX	dand~	zeo, zaban	XXX	XXX	koth~	ath~a	XXX	XXX	waT, sina	XXX	kh~rena maz, jiggar	Ty~un3	XXX	XXX	wuTh~un3, deSun3	bozun3	XXX	XXX	marun3	XXX	XXX	XXX	XXX	yiun3	XXX	XXX	XXX	XXX	XXX	aftab, siri	XXX	taruk, sitara	ab, treS	XXX	kain, pal	XXX	XXX	XXX	XXX	nar, teNul	XXX	XXX	wat	koh, bal	XXX	XXX	XXX	XXX	XXX	at, rat ky~ut	XXX	XXX	trawatrawa, barit	nau	XXX	XXX	XXX	nao
KOHISTANI_INDUS	IE	INDIC	Indo-European,Indo-Iranian,Indo-Aryan,OuterLanguages,Northwestern,Dardic,Kohistani	Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Middle-ModernIndo-Aryan,EasternDardic,NuclearEasternDardic,Kohistani,IndusKohistanic	35.62	72.35	200000		mvy	ma	tu	bEh	XXX	XXX	XXX	XXX	XXX	XXX	XXX	Ekh~	du	XXX	XXX	XXX	XXX	XXX	maS	Cumba, Cumbo	XXX	kuCuru	XXX	g3i	XXX	pan3	XXX	XXX	Cam	XXX	rath~	har	XXX	XXX	SiNg3	XXX	XXX	XXX	XXX	kan3	a*Ci, a*C	n3sur	XXX	dan	Zib	XXX	XXX	XXX	ha	XXX	XXX	CiC	XXX	XXX	ph~o	XXX	XXX	n3hal3	Swe*	XXX	XXX	m3r	XXX	XXX	XXX	XXX	Eh	XXX	XXX	XXX	XXX	XXX	suri	XXX	tar	we	XXX	bath~	XXX	XXX	XXX	XXX	agar	XXX	XXX	pan	XXX	XXX	XXX	XXX	XXX	XXX	ral	XXX	XXX	XXX	n3u*	XXX	XXX	XXX	na*u*
KONKANI	IE	INDIC	Indo-European,Indo-Iranian,Indo-Aryan,OuterLanguages,Southern,Konkani	Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Middle-ModernIndo-Aryan,ContinentalIndo-Aryan,Indo-AryanSouthernzone,Marathic,Marathi-Konkani,Old-ModernMarathi,ModernMarathi,WesternMarathi	15.25	74.00	2195750	kkn	knn	ahu*	tu*	ami	XXX	XXX	XXX	XXX	XXX	XXX	XXX	ek	don	XXX	XXX	XXX	XXX	XXX	vy~3kti	masLi, mEmE	XXX	su5a	uvo	ruk, jh~ad	XXX	XXX	XXX	XXX	kat	XXX	XXX	ar	XXX	XXX	XXX	XXX	XXX	XXX	XXX	kan	XXX	nak	XXX	da*t	XXX	XXX	XXX	XXX	hat	XXX	XXX	momo	XXX	XXX	piyE	XXX	XXX	dista, p3LE	XXX	XXX	XXX	m3r	XXX	XXX	XXX	XXX	ye	XXX	XXX	XXX	XXX	XXX	sury~o	XXX	XXX	XXX	XXX	gu*do, fat3r	XXX	XXX	XXX	XXX	uzo	XXX	XXX	XXX	p3rv3t	XXX	XXX	XXX	XXX	XXX	rat	XXX	XXX	bh~erit	n3vo	XXX	XXX	XXX	XXX
