names	wls_fam	wls_gen	e	hh	lat	lon	pop	wcode	iso	I	you	we	this	that	who	what	not	all	many	one	two	big	long	small	woman	man	person	fish	bird	dog	louse	tree	seed	leaf	root	bark	skin	flesh	blood	bone	grease	egg	horn	tail	feather	hair	head	ear	eye	nose	mouth	tooth	tongue	claw	foot	knee	hand	belly	neck	breast	heart	liver	drink	eat	bite	see	hear	know	sleep	die	kill	swim	fly	walk	come	lie	sit	stand	give	say	sun	moon	star	water	rain	stone	sand	earth	cloud	smoke	fire	ash	burn	path	mountain	red	green	yellow	white	black	night	hot	cold	full	new	good	round	dry	name
BEJA_2	AA	BEJA	Afro-Asiatic,Cushitic,North	Afro-Asiatic,Cushitic	18.00	36.00	2498000	bej	bej	ani	baruk, batuk	hanin	XXX	XXX	XXX	XXX	XXX	XXX	XXX	gar, gal	malo	XXX	XXX	XXX	XXX	XXX	ha	asa, ase	XXX	yas	tat	Sed"ar	XXX	baya	XXX	XXX	ada	XXX	boy	mi	XXX	XXX	da7	XXX	XXX	XXX	XXX	angwil	lili	genut	XXX	kos	midala, mida	XXX	XXX	gun, mb~a	ay	XXX	XXX	nug, nugwe	XXX	se	gu7	XXX	XXX	erh	masuw	XXX	XXX	yati	XXX	XXX	XXX	XXX	yit, i	XXX	XXX	XXX	XXX	XXX	yin, in	XXX	hayuk	yam	XXX	awe	XXX	XXX	XXX	XXX	n7a	XXX	XXX	lagi	reba	XXX	XXX	XXX	XXX	XXX	hawad	XXX	XXX	atab	ga	XXX	XXX	XXX	sim, sum
AWJILAH	AA	BERBER	Afro-Asiatic,Berber,Eastern,Awjila-Sokna	Afro-Asiatic,Berber	29.00	21.00	2500		auj	n3k	ku	n3k3ni	XXX	XXX	XXX	XXX	XXX	XXX	XXX	iwinan	XXX	XXX	XXX	XXX	XXX	XXX	ar3gaz	XXX	XXX	gzin	tw3likt	XXX	XXX	t3l3biSt	XXX	XXX	glim	XXX	dimmen	axast	XXX	XXX	iSk	XXX	XXX	XXX	XXX	is3m	tit	tk3nzirt	XXX	asin	il3s	XXX	XXX	afud	afus	XXX	XXX	XXX	XXX	tisi	Su	XXX	XXX	ag3l	3s3l	XXX	XXX	mut	XXX	XXX	XXX	XXX	uS	XXX	XXX	XXX	XXX	XXX	tafut	XXX	XXX	imin	XXX	az3rg	XXX	XXX	XXX	XXX	awif	XXX	XXX	t3barut	XXX	XXX	XXX	XXX	XXX	XXX	ab3t	XXX	XXX	3tk3r	atrar	XXX	XXX	XXX	XXX
CHAOUI	AA	BERBER	Afro-Asiatic,Berber,Northern,Zenati,Shawiya	Afro-Asiatic,Berber,GreaterZenatic,Zenatic	35.00	7.00	2300000	bch	shy	XXX	kek	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	yT	sn	XXX	XXX	XXX	XXX	XXX	argaz	aslem	XXX	aXerzul, aidi	tiket	tasZirt	XXX	taferkit	XXX	XXX	aglim	XXX	XXX	iXes	XXX	XXX	XXX	XXX	XXX	XXX	XXX	ameTi	XXX	Xefu	XXX	tiXmest	tu, tatut	XXX	XXX	fud	fus	XXX	XXX	tabezult	XXX	tsa	sew, tisi	XXX	XXX	tmuqli	sel	XXX	XXX	imt	XXX	XXX	XXX	XXX	as, yusid, tsas	XXX	XXX	XXX	XXX	XXX	tafukt	XXX	itri	XXX	XXX	zrut	XXX	XXX	XXX	XXX	fefu	XXX	XXX	amrir	adrar	XXX	XXX	XXX	XXX	XXX	id	XXX	XXX	heyen	aZdid	XXX	XXX	XXX	ism
CHENOUA	AA	BERBER	Afro-Asiatic,Berber,Northern	Afro-Asiatic,Berber,GreaterZenatic,Zenatic	36.59	2.20	76300		cnu	nec, necaya, necayen	sekk, semm	necnin, neSnin	XXX	XXX	XXX	XXX	XXX	XXX	XXX	ijen, 8ist	8nayen	XXX	XXX	XXX	XXX	XXX	ula 8ijen, had	aslem	XXX	ai8i	8issi8	sejjer8	XXX	luerq	XXX	XXX	ilem	XXX	i8ammen	ixes	XXX	XXX	iS	XXX	XXX	XXX	XXX	8imjet	8et	8inze8	XXX	tigmest	iles	XXX	XXX	fud	fus	XXX	XXX	a8mer, ifef	XXX	Ca	su	XXX	XXX	zer	sel	XXX	XXX	emme8	XXX	XXX	XXX	XXX	ased	XXX	XXX	XXX	XXX	XXX	8fui8	XXX	i8ri	aman	XXX	8auqi8	XXX	XXX	XXX	XXX	8imsi	XXX	XXX	abri8, lemrire8	a8rar	XXX	XXX	XXX	XXX	XXX	insu, nsin	XXX	XXX	eCar	XXX	XXX	XXX	XXX	liSem
FOQAHA	AA	BERBER	Afro-Asiatic,Berber,Eastern,Awjila-Sokna	Afro-Asiatic,Berber,GreaterZenatic,Libyan-EgyptianOasesBerber	27.83	16.35	-2016		swn	n3ki	S3ki	n3keni	XXX	XXX	XXX	XXX	XXX	XXX	XXX	ig3n	s3n	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	edi	tirSit	XXX	XXX	t3frit	XXX	XXX	il3m	XXX	idam3n	ix3s	XXX	XXX	%3lqurn	XXX	XXX	XXX	XXX	tm3zuxt	tit	tinz3rt	XXX	isin	il3s	XXX	XXX	afud	afus	XXX	XXX	XXX	XXX	tasan	asu	XXX	XXX	az3r	as3l	XXX	XXX	3m3t	XXX	XXX	XXX	XXX	us	XXX	XXX	XXX	XXX	XXX	tafukt	XXX	iri	aman	XXX	txaxit	XXX	XXX	XXX	XXX	temsi	XXX	XXX	tabarut	XXX	XXX	XXX	XXX	XXX	XXX	ayad	XXX	XXX	kar	trar	XXX	XXX	XXX	XXX
GHADAMES_2	AA	BERBER	Afro-Asiatic,Berber,Northern,Zenati,East	Afro-Asiatic,Berber	30.13	9.50	15700		gha	neS	Seg	nekenin	XXX	XXX	XXX	XXX	XXX	XXX	XXX	yun	s3n	XXX	XXX	XXX	XXX	XXX	iman	ulisma	XXX	idi	tal3kt	temdikt	XXX	t3fra	XXX	XXX	il3m	XXX	demen	x3s	XXX	XXX	aSkaw	XXX	XXX	XXX	XXX	is3m	aw3l	t3nzart	XXX	asin	il3s	XXX	XXX	uf3d	uf3s	XXX	XXX	admaren	XXX	tusa	s3w	XXX	XXX	el3m, izelem	3sl	XXX	XXX	3m3t	XXX	XXX	XXX	XXX	as	XXX	XXX	XXX	XXX	XXX	isi	XXX	iri	aman	XXX	ir3g	XXX	XXX	XXX	XXX	ufa	XXX	XXX	abrid	adurar	XXX	XXX	XXX	XXX	XXX	ibed	XXX	XXX	etkur	XXX	XXX	XXX	XXX	ism
GHOMARA	AA	BERBER	Afro-Asiatic,Berber,Northern,Zenati,Ghomara	Afro-Asiatic,Berber,Kabyle-AtlasBerber,AtlasBerber,NorthwesternMoroccanBerber	35.31	-4.96	10000		gho	n3k	k3j	nucna	XXX	XXX	XXX	XXX	XXX	XXX	XXX	yan	%zuZ	XXX	XXX	XXX	XXX	XXX	%insan	%amal3h	XXX	ayda	XXX	tagig3t	XXX	afraw	XXX	XXX	%lZ3ld	XXX	a83m	ax3s	XXX	XXX	as3kaw	XXX	XXX	XXX	XXX	am3zux	tit	%tax3nfurt	XXX	asan	il3s	XXX	XXX	afud	XXX	XXX	XXX	%sd3r	XXX	%l3fwad	su	XXX	XXX	zar	s3l	XXX	XXX	mu8	XXX	XXX	XXX	XXX	du	XXX	XXX	XXX	XXX	XXX	tafuct	XXX	%n3Zma	aman	XXX	azru	XXX	XXX	XXX	XXX	%l7afya	XXX	XXX	azr3f	adrar	XXX	XXX	XXX	XXX	XXX	%lil	XXX	XXX	kar	%Zdid	XXX	XXX	XXX	ism
KABYLE_GREATER_KABYLIA_AT_MANGELLAT	AA	BERBER	Afro-Asiatic,Berber,Northern,Kabyle	Afro-Asiatic,Berber,Kabyle-AtlasBerber	36.05	5.00	6819200	kbl	kab	n3k	c3C	n3kw~ni	XXX	XXX	XXX	XXX	XXX	XXX	XXX	yiw3n	sin	XXX	XXX	XXX	XXX	XXX	%lx3lq	asl3m, lhu8	XXX	ay8i	8ilkit	%t3Zr7a	XXX	if3r	XXX	XXX	ajw~lim	XXX	i8am3n	ix3s	XXX	XXX	iS3w	XXX	XXX	XXX	XXX	am3z7ux	8it7	8inz3r8	XXX	8uxm3s8	il3s	XXX	XXX	afu8	XXX	XXX	XXX	8abbuS8	XXX	8asa	s3w	XXX	XXX	z73r, wali	s3l	XXX	XXX	m38	XXX	XXX	XXX	XXX	as	XXX	XXX	XXX	XXX	XXX	it7iZ	XXX	i8ri	aman	XXX	az7ru	XXX	XXX	XXX	XXX	8im3s	XXX	XXX	abri8	a8rar	XXX	XXX	XXX	XXX	XXX	i87	XXX	XXX	Car7	%aZ8i8	XXX	XXX	XXX	is3m
NAFUSI	AA	BERBER	Afro-Asiatic,Berber,Northern,Zenati,East	Afro-Asiatic,Berber	32.00	12.00	283000		jbn	n3C	S3k	n3C3n	XXX	XXX	XXX	XXX	XXX	XXX	XXX	ujun	s3n	XXX	XXX	XXX	XXX	XXX	%bnad3m	%3lhut	XXX	yudi	tilSit	%l3sZar	XXX	%3lw3rq	XXX	XXX	uglim	XXX	id3m3n	x3s	XXX	XXX	aSaw	XXX	XXX	XXX	XXX	tm3jit	tit	tinz3rt	XXX	sin	il3s	XXX	XXX	uf3d	uf3s	XXX	XXX	XXX	XXX	tusa	3su	XXX	XXX	%3Sb3h	3s3l	XXX	XXX	3m3t	XXX	XXX	XXX	XXX	as	XXX	XXX	XXX	XXX	XXX	tufut	XXX	tri	aman	XXX	dxax	XXX	XXX	XXX	XXX	twaft	XXX	XXX	brid	drar	XXX	XXX	XXX	XXX	XXX	it	XXX	XXX	3Car	%aZdid	XXX	XXX	XXX	%l3s3m
OUARGLA_BERBER	AA	BERBER	Afro-Asiatic,Berber,Northern,Zenati,Mzab-Wargla	Afro-Asiatic,Berber,GreaterZenatic,Zenatic,NorthernSaharanOasisBerber,Ouargli-OuedRigh	31.92	5.33	20000	bou	oua	n3SS	S3kk	n3Snin	XXX	XXX	XXX	XXX	XXX	XXX	XXX	igg3n	s3n	XXX	XXX	XXX	XXX	XXX	takrumt	%lXut	XXX	aydi	tillit	%SS3Z3rt	XXX	tifrit	XXX	XXX	aglim	XXX	idamm3n	iX3s	XXX	XXX	aSSaw	XXX	XXX	XXX	XXX	tam3ZZit	tit7t7	tinz3rt	XXX	tiXm3st	il3s	XXX	XXX	fud	fus	XXX	XXX	iff	XXX	ca	s3w	XXX	XXX	z73r	s3ll	XXX	XXX	mm3t	XXX	XXX	XXX	XXX	as	XXX	XXX	XXX	XXX	XXX	tfit	XXX	itri	aman	XXX	adXaX	XXX	XXX	XXX	XXX	timsi	XXX	XXX	abrid	ag3rgub	XXX	XXX	XXX	XXX	XXX	id7	XXX	XXX	SSar7	%aZdid	XXX	XXX	XXX	is3m
SENED	AA	BERBER	Afro-Asiatic,Berber,Northern,Zenati,East	Afro-Asiatic,Berber,GreaterZenatic,Zenatic,Zuara-Sened	34.47	9.44	-1990		sds	neC, niCi, neCi	Cek, Cem	Cnini	XXX	XXX	XXX	XXX	XXX	XXX	XXX	iCen, iCnet	sen, senet	XXX	XXX	XXX	XXX	XXX	h7atta	XXX	XXX	aidi	tillit	XXX	XXX	tifret	XXX	XXX	aglim	XXX	idemmen	ier7es7	XXX	XXX	iC, iCCaun	XXX	XXX	XXX	XXX	tamecit	tit7	tinzert	XXX	isen	ils	XXX	XXX	fud	fus	XXX	XXX	ifef	XXX	tesa, aca	esu, su	XXX	XXX	zre	esel, sl	XXX	XXX	emmet	XXX	XXX	XXX	XXX	ennet7, nt7	XXX	XXX	XXX	XXX	XXX	tfuit	XXX	itri	aman	XXX	taset7t7art	XXX	XXX	XXX	XXX	timsi	XXX	XXX	abrid	adrar	XXX	XXX	XXX	XXX	XXX	daggit	XXX	XXX	eCur	XXX	XXX	XXX	XXX	ism
SENHAJA_DE_SRAIR	AA	BERBER	Afro-Asiatic,Berber,Northern,Zenati,Riff	Afro-Asiatic,Berber,Kabyle-AtlasBerber,AtlasBerber,NorthwesternMoroccanBerber	34.91	-4.56	50000		sjs	n3k	k3j	nukni	XXX	XXX	XXX	XXX	XXX	XXX	XXX	iw3n	%ZuZ	XXX	XXX	XXX	XXX	XXX	%b3na83m	asl3m	XXX	ahar8an	8iSi8	%s3Zra	XXX	afar	XXX	XXX	%Z3ld	XXX	%3d3m	ix3s	XXX	XXX	isk	XXX	XXX	XXX	XXX	am3zux	8i7	8inzar8	XXX	aqaruS	ils	XXX	XXX	afu8	afus	XXX	XXX	abiS	XXX	8asa	su	XXX	XXX	zar	s3l	XXX	XXX	3m38	XXX	XXX	XXX	XXX	as	XXX	XXX	XXX	XXX	XXX	8afuT8	XXX	i8ri	aman	XXX	azru	XXX	XXX	XXX	XXX	%l7afya	XXX	XXX	iz3rf	a8rar	XXX	XXX	XXX	XXX	XXX	%3lil	XXX	XXX	38kar	%3ji8	XXX	XXX	XXX	is3m
SIWA_BERBER	AA	BERBER	Afro-Asiatic,Berber,Eastern,Siwa	Afro-Asiatic,Berber,GreaterZenatic,Libyan-EgyptianOasesBerber	29.17	25.50	20000	bsi	siz	niS	S3k	3nCni	XXX	XXX	XXX	XXX	XXX	XXX	XXX	3ZZ3n	s3n	XXX	XXX	XXX	XXX	XXX	%at3rras	%tism3kt	XXX	agurzni	talS3t	%tiss3Zr3t	XXX	%tw3r7q3t	XXX	XXX	il3m	XXX	idamm3n	ix3s7	XXX	XXX	aCCaw	XXX	XXX	XXX	XXX	tam3z7z7uxt	tit7t	tanzart	XXX	asen	il3s	XXX	XXX	fud	fus	XXX	XXX	if3f	XXX	ca	su	XXX	XXX	z73r	s3l	XXX	XXX	XXX	XXX	XXX	XXX	XXX	us3d	XXX	XXX	XXX	XXX	XXX	tfukt	XXX	iri	aman	XXX	txux3t	XXX	XXX	XXX	XXX	t3msi	XXX	XXX	%3mm3s7r3b	adrar	XXX	XXX	XXX	XXX	XXX	it7	XXX	XXX	Cur	atrar	XXX	XXX	XXX	ism
TAMAHAQ_TAHAGGART	AA	BERBER	Afro-Asiatic,Berber,Tamasheq,Northern	Afro-Asiatic,Berber,Tuareg	23.00	6.00	112900	tai	thv	nak	kay	nakaned	XXX	XXX	XXX	XXX	XXX	XXX	XXX	iyan	3ssin	XXX	XXX	XXX	XXX	XXX	%awadam	asulmay	XXX	eydi	tilik	aSek	XXX	afraw	XXX	XXX	alam	XXX	ahni	axas	XXX	XXX	is3k	XXX	XXX	XXX	XXX	tamazuk	tet	ti5har	XXX	esen	il3s	XXX	XXX	afud	afus	XXX	XXX	efaf	XXX	awsa	3s3w	XXX	XXX	3n3y	3s3l	XXX	XXX	amat	XXX	XXX	XXX	XXX	as	XXX	XXX	XXX	XXX	XXX	tafuk	XXX	atri	aman	XXX	tahunt	XXX	XXX	XXX	XXX	tim3s	XXX	XXX	abaraqa	adrar	XXX	XXX	XXX	XXX	XXX	ahad	XXX	XXX	adkar	iynay	XXX	XXX	XXX	is3m
TAMAJEQ_TAYART_AIR	AA	BERBER	Afro-Asiatic,Berber,Tamasheq,Southern	Afro-Asiatic,Berber,Tuareg,SouthernTuareg	16.00	8.00	250000		thz	nak7	kay	n3k3ni	XXX	XXX	XXX	XXX	XXX	XXX	XXX	3yan	3Sin	XXX	XXX	XXX	XXX	XXX	%awedan	%kifi	XXX	iji	C3lek	eSek	XXX	af7r3nk3t	XXX	XXX	elam	XXX	ezni	exas	XXX	XXX	is3k7	XXX	XXX	XXX	XXX	tand73r3k	C3t7	C3nZaren	XXX	eSen	il3s	XXX	XXX	3fud	3fus	XXX	XXX	efaf	XXX	tas7a	3Swu	XXX	XXX	3n73y	3slu	XXX	XXX	am7at	XXX	XXX	XXX	XXX	as7u	XXX	XXX	XXX	XXX	XXX	t3f7uk	XXX	atr7i	am7an	XXX	t3wint	XXX	XXX	XXX	XXX	temse	XXX	XXX	tar7ayt	adxax	XXX	XXX	XXX	XXX	XXX	ehad7	XXX	XXX	3k3r	iynay	XXX	XXX	XXX	is3n
TAMASHEQ	AA	BERBER	Afro-Asiatic,Berber,Tamasheq,Southern	Afro-Asiatic,Berber,Tuareg,SouthernTuareg	14.05	-0.25	500000	tsk	taq	nak	kay	nakaned7	XXX	XXX	XXX	XXX	XXX	XXX	XXX	iyan	3sin	XXX	XXX	XXX	XXX	XXX	%awad3m	eman	XXX	edi	tilik	emaxt	XXX	efarket	XXX	XXX	elam	XXX	aSni	exas	XXX	XXX	is3k	XXX	XXX	XXX	XXX	tam3z7uk	tet7	tinSar	XXX	esen	il3s	XXX	XXX	3fud	3fus	XXX	XXX	efaf	XXX	awsa	3su	XXX	XXX	3nh3y	3s3l	XXX	XXX	amat	XXX	XXX	XXX	XXX	as	XXX	XXX	XXX	XXX	XXX	t3fuk	XXX	at3r	aman	XXX	t3hunt	XXX	XXX	XXX	XXX	efew	XXX	XXX	abarij	ad7xax	XXX	XXX	XXX	XXX	XXX	3had7	XXX	XXX	3dk3r	iynay	XXX	XXX	XXX	is3m
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR	AA	BERBER	Afro-Asiatic,Berber,Northern,Atlas	Afro-Asiatic,Berber,Kabyle-AtlasBerber,AtlasBerber	33.20	-4.40	4740000	bma	tzm	n3k	S3g	nukni	XXX	XXX	XXX	XXX	XXX	XXX	XXX	yun	sin	XXX	XXX	XXX	XXX	XXX	%b3na83m	asl3m	XXX	iy8i	8axuy8	axlij	XXX	%8awriq8	XXX	XXX	ajw~lim	XXX	i8am3n	ixs7	XXX	XXX	iS	XXX	XXX	XXX	XXX	am3zux	8it7	8ijnzar	XXX	uxs	irs	XXX	XXX	afu8	afus	XXX	XXX	if	XXX	8asa	s3w	XXX	XXX	anay	s3l	XXX	XXX	m38	XXX	XXX	XXX	XXX	du	XXX	XXX	XXX	XXX	XXX	8afuS8	XXX	i8ri	aman	XXX	azr7u	XXX	XXX	XXX	XXX	%l7afi8	XXX	XXX	abri8	%Zb3l	XXX	XXX	XXX	XXX	XXX	i87	XXX	XXX	%3m3r	%uZ8i8	XXX	XXX	XXX	ism
TARIFIT_BENI_IZNASSEN	AA	BERBER	Afro-Asiatic,Berber,Northern,Zenati,Riff	Afro-Asiatic,Berber,GreaterZenatic,Zenatic	34.05	-4.00	4399000	brf	rif	n3C	S3k	n3Cin	XXX	XXX	XXX	XXX	XXX	XXX	XXX	ij3n	%8nayen	XXX	XXX	XXX	XXX	XXX	%bna83m	asl3m	XXX	ay8i	8iSic8	%SZ3r	XXX	af3r	XXX	XXX	il3m	XXX	i8am3n	ix3s	XXX	XXX	iS	XXX	XXX	XXX	XXX	8im3Z3t	8it	inz3r	XXX	8ixm3s8	il3s	XXX	XXX	fu8	fus	XXX	XXX	ab3biS	XXX	8sa	s3w	XXX	XXX	z3r	s3l	XXX	XXX	m38	XXX	XXX	XXX	XXX	as	XXX	XXX	XXX	XXX	XXX	8fuyc8	XXX	i8ri	aman	XXX	azru	XXX	XXX	XXX	XXX	8im3si	XXX	XXX	abri8	a8rar	XXX	XXX	XXX	XXX	XXX	%lil38	XXX	XXX	%3m3r	%g8i8	XXX	XXX	XXX	is3m
TASHELHIT_IDA_USEMLAL	AA	BERBER	Afro-Asiatic,Berber,Northern,Atlas	Afro-Asiatic,Berber,Kabyle-AtlasBerber,AtlasBerber	29.53	-9.61	5118000	tas	shi	nk	ky	nkni	XXX	XXX	XXX	XXX	XXX	XXX	XXX	yan	sin	XXX	XXX	XXX	XXX	XXX	%bnadm	aslm	XXX	aydi	tilkit	%SZr7t	XXX	afraw	XXX	XXX	ilm	XXX	idamn	ixs	XXX	XXX	isk	XXX	XXX	XXX	XXX	amz7ux	tit7	%tinxrt	XXX	axs	ils	XXX	XXX	afud	afus	XXX	XXX	tabubat	XXX	tasa	su	XXX	XXX	z7r	sfld	XXX	XXX	mt	XXX	XXX	XXX	XXX	aSk	XXX	XXX	XXX	XXX	XXX	tafukt	XXX	itri	aman	XXX	tagunt	XXX	XXX	XXX	XXX	%l7afit	XXX	XXX	axaras	adrar	XXX	XXX	XXX	XXX	XXX	ad7	XXX	XXX	ktur	%leZdid	XXX	XXX	XXX	ism
TAZNATIT	AA	BERBER	Afro-Asiatic,Berber,Northern,Zenati,Mzab-Wargla	Afro-Asiatic,Berber,GreaterZenatic,Zenatic,NorthernSaharanOasisBerber	29.11	0.02	11000		grr	yyi	Tekk	anex, ayax	XXX	XXX	XXX	XXX	XXX	XXX	XXX	iTen, yiTT	senn, sent	XXX	XXX	XXX	XXX	XXX	XXX	slem	XXX	ydi	wetted	XXX	XXX	XXX	XXX	XXX	ilmey	XXX	XXX	ixess	XXX	XXX	XXX	XXX	XXX	XXX	XXX	mezx	ittaw	nzar, funzrit	XXX	axmas	XXX	XXX	XXX	fadd	XXX	XXX	XXX	buppu	XXX	tca	sew	XXX	XXX	XXX	ssxed	XXX	XXX	XXX	XXX	XXX	XXX	XXX	as	XXX	XXX	XXX	XXX	XXX	fuy	XXX	itri	aman	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	brid	drar	XXX	XXX	XXX	XXX	XXX	llilet	XXX	XXX	XXX	Tdid	XXX	XXX	XXX	ttesmeyyet
TETSERRET	AA	BERBER	Afro-Asiatic,Berber,Tamasheq,Southern	Afro-Asiatic,Berber,Tuareg,SouthernTuareg	15.45	6.27	870000		ttq	nik	kig	n3k3ni	XXX	XXX	XXX	XXX	XXX	XXX	XXX	iwan	3Sin	XXX	XXX	XXX	XXX	XXX	afagan	XXX	XXX	ed	t3l3k	aSar	XXX	XXX	XXX	XXX	ilem	XXX	3dam3n	3z7	XXX	XXX	3sk	XXX	XXX	XXX	XXX	t3m3t73d	t3d7	tinZar	XXX	okS	3lS	XXX	XXX	awf3d	of3S	XXX	XXX	3fu	XXX	taSa	eS3b	XXX	XXX	az73r	XXX	XXX	XXX	matat	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	tawf3k	XXX	atri	aman	XXX	XXX	XXX	XXX	XXX	XXX	efu	XXX	XXX	tabarat	awud	XXX	XXX	XXX	XXX	XXX	ayad7	XXX	XXX	oz73d	XXX	XXX	XXX	XXX	XXX
TUMZABT	AA	BERBER	Afro-Asiatic,Berber,Northern,Zenati,Mzab-Wargla	Afro-Asiatic,Berber,GreaterZenatic,Zenatic,NorthernSaharanOasisBerber	32.05	3.05	150000	bmz	mzb	n3S	n3C	n3Snin	XXX	XXX	XXX	XXX	XXX	XXX	XXX	ig3n	s3n	XXX	XXX	XXX	XXX	XXX	%bnad3m	%3lhut	XXX	aydi	tilit	%3s3jr3t	XXX	tifrit	XXX	XXX	ajlim	XXX	idam3n	ix3s	XXX	XXX	aSaw	XXX	XXX	XXX	XXX	tam3zuxt	tit7	tinz3rt	XXX	tixm3st	il3s	XXX	XXX	fud	fus	XXX	XXX	if	XXX	tsa	s3w	XXX	XXX	z73r	s3l	XXX	XXX	3m3t	XXX	XXX	XXX	XXX	as	XXX	XXX	XXX	XXX	XXX	tfuyt	XXX	itri	aman	XXX	adxa	XXX	XXX	XXX	XXX	tfawt	XXX	XXX	abrid	awrir	XXX	XXX	XXX	XXX	XXX	id7	XXX	XXX	Sar	%aZdid	XXX	XXX	XXX	is3m
ZENAGA_2	AA	BERBER	Afro-Asiatic,Berber,Zenaga	Afro-Asiatic,Berber,WesternBerber	17.33	-16.00	200	zen	zen	nik	kuk	n3kni	XXX	XXX	XXX	XXX	XXX	XXX	XXX	yu7u, 3yu7n	Sinan	XXX	XXX	XXX	XXX	XXX	min	sijman	XXX	idi	t3l3kt	aSa7r	XXX	t3jburuxd	XXX	XXX	3j3m	XXX	d3m3nh~	ici	XXX	XXX	t3sken	XXX	XXX	XXX	XXX	tamazgud	tud	tinZ3r3n	XXX	uks	3Csi	XXX	XXX	o7fu	afuS	XXX	XXX	gurgar3n	XXX	ta7Sa	3Sbi	XXX	XXX	zar	gera	XXX	XXX	3mw~i	XXX	XXX	XXX	XXX	Sed	XXX	XXX	XXX	XXX	XXX	t37fukt	XXX	ed3ri	aman, am3nh~	XXX	ti7rg3t	XXX	XXX	XXX	XXX	ozun	XXX	XXX	tir3s	3rg3m	XXX	XXX	XXX	XXX	XXX	id	XXX	XXX	tufurt	3n3n, 3y3n	XXX	XXX	XXX	eS3m
BACAMA	AA	BIU-MANDARA	Afro-Asiatic,Chadic,Biu-Mandara,A,A.8	Afro-Asiatic,Chadic,Biu-Mandara,SouthBiu-Mandara,Bataic,Bata-Bwatiye	9.40	11.65	289000		bcy	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	hido	kp~e	XXX	XXX	XXX	XXX	XXX	bw~ara	vak3y	XXX	sak3y	kulato	kada	XXX	Zuba	XXX	XXX	sulari	XXX	zamb~Ey	ulEy	XXX	XXX	bw~om3y	XXX	XXX	XXX	XXX	kw~ak3y	dito	Sine	XXX	lint~o	Zime	XXX	XXX	dugEy	XXX	XXX	XXX	bw~upto	XXX	roSey	sabw~a haby~Ey	XXX	XXX	n3n	kulo	XXX	XXX	duwEy dahum3y, mb~uro	XXX	XXX	XXX	XXX	Siy	XXX	XXX	XXX	XXX	XXX	furEy	XXX	tikulEy	haby~iy	XXX	fara, nzofara	XXX	XXX	XXX	XXX	diyEy	XXX	XXX	tuf3y	mw~Ey	XXX	XXX	XXX	XXX	XXX	tukw~oto	XXX	XXX	XXX	wElEy, suwElEy	XXX	XXX	XXX	kw~ak3y
BANA	AA	BIU-MANDARA	Afro-Asiatic,Chadic,Biu-Mandara,A,A.3	Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Higic,Nkafa-Kirya-Bana	10.25	13.35	23000	ban	bcw	XXX	agha	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	bak3, bak	XXX	XXX	XXX	XXX	XXX	nd3	k3lip3	XXX	k3ri	kaLikidi	f3	XXX	Ldiya	XXX	XXX	h3ni	XXX	mimi	iL3	XXX	XXX	t3lim3	XXX	XXX	XXX	XXX	L3m3	m3c3, mc3	kS3n	XXX	Lini	ghani	XXX	XXX	Sini	d3v3	XXX	XXX	wa	XXX	XXX	sa	XXX	XXX	na	fa	XXX	XXX	m3ti	XXX	XXX	XXX	XXX	s3k3	XXX	XXX	XXX	XXX	XXX	v3Ti, muku	XXX	sas3rkw3	XXX	XXX	hakw3	XXX	XXX	XXX	XXX	ghw3	XXX	XXX	kwal	d3lagwa	XXX	XXX	XXX	XXX	XXX	kw3Li	XXX	XXX	gy~ad3, paf3	y3w3n	XXX	XXX	XXX	L3n
BAZZA	AA	BIU-MANDARA	Afro-Asiatic,Chadic,Biu-Mandara,A,A.3	Afro-Asiatic,Chadic,Biu-Mandara,NorthBiu-Mandara,Higic,Nkafa-Kirya-Bana,Nkafa-Kirya	10.50	13.26	577000		hig	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	XXX	paL3w	bw~ogu	XXX	XXX	XXX	XXX	XXX	ndu, wndu	k3l3po	XXX	k3rE	jangare	fw~o	XXX	Ltibili	XXX	XXX	pta	XXX	mimi	giLu	XXX	XXX	t3l3mo	XXX	XXX	XXX	XXX	L3m3	co	Ci	XXX	L3n3w	ane	XXX	XXX	g3Sini	XXX	XXX	XXX	gw~a	XXX	wno	suxu, savo	XXX	XXX	niyo	f3du	XXX	XXX	wto	XXX	XXX	XXX	XXX	sko	XXX	XXX	XXX	XXX	XXX	viCi	XXX	LaLurgw~a	yEmi	XXX	p3rE	XXX	XXX	XXX	XXX	uxu	XXX	XXX	kw~aNkw$a	xumo	XXX	XXX	XXX	XXX	XXX	v3li	XXX	XXX	XXX	mirifi	XXX	XXX	XXX	Lti
