family	area	subsistence
Laragia	Australia	HG
Lavukaleve	Papunesia	AGR
Leco	South America	AGR
LeftMay	Papunesia	HG-SED
Lencan	North America	AGR
Lengua-Mascoy	South America	HG
Lepki-Murkim	Papunesia	HG-SAGO
Limilngan-Wulna	Australia	HG
LowerSepik	Papunesia	HG-SAGO
Lule	South America	HG
Maban	Africa	AGR
Maiduan	North America	HG
Mailuan	Papunesia	AGR
Mairasic	Papunesia	AGR
Mande	Africa	AGR
Mangarrayi-Maran	Australia	HG
Maningrida	Australia	HG
Manubaran	Papunesia	AGR
Maratino	North America	HG
Marori	Papunesia	HG-SAGO
Marrku-Wurrugu	Australia	HG
Massep	Papunesia	HG-SED
Mataguayan	South America	HG
Matanawí	South America	HG
MatoGrossoArára	South America	AGR
Mawes	Papunesia	AGR
Mayan	North America	AGR
Maybrat-Karon	Papunesia	AGR
Meroitic	Africa	AGR
Mimi-Gaudefroy	Africa	AGR
Minkin	Australia	HG
Mirndi	Australia	HG
Misumalpan	North America	AGR
Miwok-Costanoan	North America	HG
Mixe-Zoque	North America	AGR
Mochica	South America	AGR
Molale	North America	HG
Molof	Papunesia	HG-SAGO
Mombum-Koneraw	Papunesia	AGR
Mongolic-Khitan	Eurasia	AGR
Mor(BomberaiPeninsula)	Papunesia	HG-SAGO
Morehead-Wasur	Papunesia	AGR
Mosetén-Chimané	South America	AGR
Movima	South America	HG
Mpur	Papunesia	AGR
Muniche	South America	AGR
Mure	South America	HG
Muskogean	North America	AGR
Máku	South America	HG
Naduhup	South America	HG
Nakh-Daghestanian	Eurasia	AGR
Nambiquaran	South America	HG, AGR
Namla-Tofanma	Papunesia	HG-SAGO
Nara	Africa	AGR
NarrowTalodi	Africa	AGR
Natchez	North America	AGR
Ndu	Papunesia	HG-SAGO, HG-SED
Nihali	Eurasia	AGR
Nilotic	Africa	PAS
Nimboranic	Papunesia	HG-SED
Nivkh	Eurasia	HG-FISH
North-EasternTasmanian	Australia	HG
NorthBougainville	Papunesia	AGR
NorthernDaly	Australia	HG
NorthHalmahera	Papunesia	AGR
Nubian	Africa	AGR
Nuclear-Macro-Je	South America	AGR, HG
NuclearTorricelli	Papunesia	AGR
NuclearTransNewGuinea	Papunesia	HG-SAGO
Nyimang	Africa	AGR
Nyulnyulan	Australia	HG
Odiai	Papunesia	HG-SAGO
Omurano	South America	AGR
Ongota	Africa	AGR
Oti	South America	HG
Otomaco-Taparita	South America	AGR
Otomanguean	North America	HG
OysterBay-BigRiver-LittleSwanport	Australia	HG
Pahoturi	Papunesia	HG-SAGO
