mo	pairs_mo	BP_mo	lat_mo	lon_mo	Ntaxa_mo	method_mo	da	pairs_da	BP_da	lat_da	lon_da	Ntaxa_da	method_da	err_home_mo	err_home_da	distance	speed	area	subsistence	bearing	biome4	biome4_names	perc_b4	biome98	biome98_names	perc_b98	altitude	rugosity	npp
Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,Mbumic,NorthernMbum,Tupuri-Mundang-Mambai	7	2634	9.83195	14.4751	5	MD	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,Mbumic,NorthernMbum,Tupuri-Mundang-Mambai,Mundangic	3	1551	8.415848	14.42662	3	BT	112	94	157.72977880885	0.146	Africa	AGR	NS	12	Tropical savanna	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	323.99	42.68	549
Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,CentralAdamawa,Mumuye-Yandang,Yandangic	3	2707	8.338382	12.44452	6	BT	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,CentralAdamawa,Mumuye-Yandang,Yandangic,Bali-Kpasam	3	1184	9.553743	12.32884	3	BT	91	78	135.89005566048	0.089	Africa	AGR	NS	12	Tropical savanna	100	100	Sea	100	470.15	114.9	813
Atlantic-Congo,Volta-Congo,Benue-Congo,Ebira-Nupoid,Macro-Nupoid,Nupoid,Dibo-Kupa	7	1292	7.824602	5.995216	5	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Ebira-Nupoid,Macro-Nupoid,Nupoid,Dibo-Kupa,Abawa	2	1100	7.814637	7.329811	3	BT	89	87	147.189080996789	0.767	Africa	AGR	EW	12	Tropical savanna	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	254.74	107.02	893.35
Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Gur,CentralGur,NorthernCentralGur,Bwamu-Oti-Volta	72	4709	10.32961	0.273059	37	BT	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Gur,CentralGur,NorthernCentralGur,Bwamu-Oti-Volta,Oti-Volta	44	2700	10.43791	0.40104	33	BT	110	165	18.4857130154974	0.009	Africa	AGR	EW	12	Tropical savanna	100	100	Sea	100	151.99	23.82	709
Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,CentralAdamawa,Samba-Duru,SouthernSamba-Duru	13	2634	8.736654	10.26147	9	BT	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,CentralAdamawa,Samba-Duru,SouthernSamba-Duru,Sambaic	1	1248	8.865431	11.2905	4	BT	114	128	114.106336066294	0.082	Africa	AGR	EW	12	Tropical savanna	76.9	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	173.85	50.67	956.46
Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,CentralAdamawa,Samba-Duru,SouthernSamba-Duru	13	2634	8.736654	10.26147	9	BT	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,CentralAdamawa,Samba-Duru,SouthernSamba-Duru,Diic	1	2049	7.967351	11.16094	3	BT	114	89	130.95026425545	0.224	Africa	AGR	EW	12	Tropical savanna	73.3	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	163.42	43.83	977.53
Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,CentralTano	10	2586	6.848263	-0.991745	11	BT	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,CentralTano,Akanic	1	1193	6.833023	-0.497501	3	BT	211	122	54.6536594748537	0.039	Africa	AGR	EW	12	Tropical savanna	100	1	Tropical & Subtropical Moist Broadleaf Forests 	57.1	211.15	142.17	1049
Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,CentralTano	10	2586	6.848263	-0.991745	11	BT	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,CentralTano,Bia	6	2329	5.700515	-0.508611	8	BT	211	215	138.499874952462	0.539	Africa	AGR	NS	12	Tropical savanna	100	1	Tropical & Subtropical Moist Broadleaf Forests 	62.5	224.91	147.18	1055
Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,Guang	27	2309	8.25524	0.18978	19	BT	Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,Guang,NorthGuang	20	1676	7.817893	0.571456	15	BT	149	125	64.3442937530532	0.102	Africa	AGR	NS	12	Tropical savanna	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	87.5	225.36	115.99	765.75
Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,Ubangi,Mundu-Baka,WesternMundu-Baka	10	1249	6.169695	19.05939	10	BT	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,Ubangi,Mundu-Baka,WesternMundu-Baka,Baka-Gundi	1	467	5.958946	18.84535	4	BT	223	182	33.3432809768391	0.043	Africa	AGR	EW	12	Tropical savanna	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	543.63	31.91	1099.4
Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,Ubangi,Mundu-Baka,EasternMundu-Baka	2	1644	4.278734	26.98856	3	BT	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,Ubangi,Mundu-Baka,EasternMundu-Baka,Mayogo-Bangba	1	1089	3.534324	27.41088	2	BT	103	77	95.2201477720818	0.172	Africa	AGR	NS	12	Tropical savanna	91.7	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	684.3	18.52	1452.92
Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,Ubangi,Mundu-Baka,WesternMundu-Baka	10	1249	6.169695	19.05939	10	BT	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,Ubangi,Mundu-Baka,WesternMundu-Baka,RiverWesternMundu-Baka	8	868	4.999849	19.88478	6	BT	223	110	159.125824497622	0.418	Africa	AGR	NS	12	Tropical savanna	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	538.04	27.69	1119.78
Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,Ubangi,Mbaic,Ndunga-Mba-Dongo	2	3660	5.203949	18.83917	3	BT	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,Ubangi,Mbaic,Ndunga-Mba-Dongo,Ndunga-Mba	1	2046	2.191074	19.95633	2	BT	196	77	357.610839308046	0.222	Africa	AGR	NS	12	Tropical savanna	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	419.63	31.85	1224.11
Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,Ubangi,Ngbandi-Mongoba-Kazibati,Ngbandic	4	1235	5.234666	21.79163	8	BT	Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,Ubangi,Ngbandi-Mongoba-Kazibati,Ngbandic,NuclearNgbandic	6	791	5.384848	21.69601	7	BT	170	167	19.7946942781483	0.045	Africa	AGR	NS	12	Tropical savanna	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	75	550.89	34	1231
Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,UpperCross,CentralUpperCross,North-SouthCentralDeltaCross	12	2002	6.136717	9.379874	7	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,UpperCross,CentralUpperCross,North-SouthCentralDeltaCross,Ubaghara-Kohumono	3	1348	5.81055	8.03166	4	MD	98	84	153.619815427074	0.235	Africa	AGR	EW	2	Tropical semi-deciduous forest	100	1	Tropical & Subtropical Moist Broadleaf Forests 	76.5	167.42	139.83	1091.18
Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,UpperCross,CentralUpperCross,North-SouthCentralDeltaCross	12	2002	6.136717	9.379874	7	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,UpperCross,CentralUpperCross,North-SouthCentralDeltaCross,Koring-Kukele	2	1313	8.208074	9.305612	3	BT	98	83	230.728223848415	0.335	Africa	AGR	NS	2	Tropical semi-deciduous forest	100	1	Tropical & Subtropical Moist Broadleaf Forests 	100	367.47	332.21	1052
Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,UpperCross,CentralUpperCross,East-WestCentralDeltaCross	19	2169	6.813829	8.619613	8	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,UpperCross,CentralUpperCross,East-WestCentralDeltaCross,Mbembe-Legbo	3	2008	7.312032	8.860546	4	BT	94	83	61.5161741510227	0.382	Africa	AGR	NS	3	Tropical deciduous forest/woodland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	92.59	27.81	1017
Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,UpperCross,CentralUpperCross,East-WestCentralDeltaCross	19	2169	6.813829	8.619613	8	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,UpperCross,CentralUpperCross,East-WestCentralDeltaCross,Lokoic	2	1647	6.885504	7.562882	3	BT	94	85	117.067325266162	0.224	Africa	AGR	EW	3	Tropical deciduous forest/woodland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	122.96	53.72	1050
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,WideGrassfields,NarrowGrassfields	615	3045	5.122545	10.55856	69	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,WideGrassfields,NarrowGrassfields,Ring	43	2673	6.328813	10.17634	18	BT	130	98	140.796715206124	0.378	Africa	AGR	NS	2	Tropical semi-deciduous forest	100	1	Tropical & Subtropical Moist Broadleaf Forests 	100	1200.11	291.17	1065.88
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,WideGrassfields,NarrowGrassfields	615	3045	5.122545	10.55856	69	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,WideGrassfields,NarrowGrassfields,SouthwestGrassfields	1	2075	5.272746	10.32943	6	BT	130	78	30.41080650536	0.031	Africa	AGR	EW	2	Tropical semi-deciduous forest	100	1	Tropical & Subtropical Moist Broadleaf Forests 	100	1134.59	252.99	1085
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,WideGrassfields,NarrowGrassfields	615	3045	5.122545	10.55856	69	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,WideGrassfields,NarrowGrassfields,Mbam-Nkam	88	2630	5.609056	10.31168	36	BT	130	96	60.6777329041144	0.146	Africa	AGR	NS	2	Tropical semi-deciduous forest	100	1	Tropical & Subtropical Moist Broadleaf Forests 	100	1180.84	279.94	1071.5
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,WideGrassfields,NarrowGrassfields	615	3045	5.122545	10.55856	69	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,WideGrassfields,NarrowGrassfields,Momo	2	1701	5.556167	9.790428	7	BT	130	83	97.868937271238	0.073	Africa	AGR	EW	2	Tropical semi-deciduous forest	100	1	Tropical & Subtropical Moist Broadleaf Forests 	100	1080.04	347.55	1125.58
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu	3655	2310	-6.750091	34.00862	134	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,NortheastCoastalBantu	231	1863	-5.967748	36.62175	33	BT	247	260	301.932885400115	0.675	Africa	AGR	EW	13	Tropical xerophytic shrubland	75	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	75	1076	138.37	455
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50)	3	3468	5.05845	11.114	4	MD	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Bafia(A.50),NuclearBafia(A.50)	2	1944	4.80551	10.9888	3	MD	77	77	31.3948196334983	0.021	Africa	AGR	NS	2	Tropical semi-deciduous forest	100	1	Tropical & Subtropical Moist Broadleaf Forests 	60	738.05	102.33	1123.8
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Basaa-Yaunde(A40-70)	16	2158	4.21045	11.3935	11	MD	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Basaa-Yaunde(A40-70),Yaunde-Fang(A.70)	6	768	4.21141	11.93646	6	MD	77	77	60.2789602372359	0.043	Africa	AGR	EW	2	Tropical semi-deciduous forest	100	1	Tropical & Subtropical Moist Broadleaf Forests 	100	555.29	66.75	1147.5
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver	798	2541	-0.925434	20.58316	98	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,RiversBantu	339	2419	0.125421	19.23931	67	BT	260	216	189.899775420061	1.557	Africa	AGR	EW	1	Tropical evergreen forest	100	1	Tropical & Subtropical Moist Broadleaf Forests 	100	349.41	10.49	1592.43
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,Sabi	6	1127	-11.50687	29.59803	8	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,Sabi,Malungu-CentralSabi	9	740	-10.97608	29.96282	7	BT	191	192	71.2576538389486	0.184	Africa	AGR	NS	2	Tropical semi-deciduous forest	100	9	Flooded Grasslands & Savannas 	66.7	1171.84	13	1192
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Ndasaic	6	1742	0.554005	13.15071	6	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Ndasaic,Kota-Mahongwe	1	904	0.719626	13.19807	2	BT	121	77	19.1757336061359	0.023	Africa	AGR	NS	1	Tropical evergreen forest	100	1	Tropical & Subtropical Moist Broadleaf Forests 	100	529.01	35.18	1266
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Basaa-Yaunde(A40-70)	16	2158	4.21045	11.3935	11	MD	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Basaa-Yaunde(A40-70),Basaa(A.40)	4	2047	4.3702	9.6403	5	MD	77	77	195.429115407683	1.761	Africa	AGR	EW	1	Tropical evergreen forest	50	1	Tropical & Subtropical Moist Broadleaf Forests 	100	354.31	143.55	1205.68
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Sawabantu	6	2006	2.542243	11.85892	10	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Sawabantu,Dualaic	1	1318	1.807108	11.51053	5	BT	114	98	90.5474832064791	0.132	Africa	AGR	NS	1	Tropical evergreen forest	100	1	Tropical & Subtropical Moist Broadleaf Forests 	100	673.42	38.12	1221
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Sawabantu	6	2006	2.542243	11.85892	10	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Sawabantu,Bengaic	3	1634	2.58778	11.55935	5	BT	114	90	33.6980224563603	0.091	Africa	AGR	EW	1	Tropical evergreen forest	100	1	Tropical & Subtropical Moist Broadleaf Forests 	100	673.42	38.12	1221
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Makaa-Kako(A.80-90)	33	2587	3.25933	13.54152	19	MD	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Makaa-Kako(A.80-90),Makaa-Njem(A.80)	29	2409	3.25933	13.54152	15	MD	77	77	0	0	Africa	AGR	NA	1	Tropical evergreen forest	100	1	Tropical & Subtropical Moist Broadleaf Forests 	100	669.37	42.68	1219
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu	3655	2310	-6.750091	34.00862	134	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,SouthernTanzaniaHighlandsBantu	25	1280	-9.276612	34.51308	11	BT	247	131	286.694697754762	0.278	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	1278.12	87.92	415.74
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver	798	2541	-0.925434	20.58316	98	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,NorthZaireRiver,InnerBasinBantu	104	2484	-1.282768	22.10965	31	BT	260	337	174.490825710137	3.061	Africa	AGR	EW	1	Tropical evergreen forest	100	1	Tropical & Subtropical Moist Broadleaf Forests 	100	384.14	18.89	1652.26
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,Njila	171	2146	-7.557225	18.71	38	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,Njila,NorthernNjila	18	1961	-7.567163	18.1552	10	BT	361	167	61.2328914112712	0.331	Africa	AGR	EW	3	Tropical deciduous forest/woodland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	909.93	65.85	1116
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu	3655	2310	-6.750091	34.00862	134	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,GreatLakesBantu	791	1872	-3.382516	33.10642	65	BT	247	144	387.991792584897	0.886	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	1280.07	53.71	463.9
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,CorridorBantu	28	1569	-7.870211	31.78579	16	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,CorridorBantu,Mbozi	59	1267	-7.955739	33.24273	14	BT	87	106	160.92333552865	0.533	Africa	AGR	EW	3	Tropical deciduous forest/woodland	83.3	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	94.4	1194.87	210.09	586.33
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,Tumbuka-Sena-Nyanja	4	1181	-11.49354	32.04226	10	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,Tumbuka-Sena-Nyanja,Sena-Nyanja	5	787	-13.84858	33.25602	8	BT	152	168	293.434288321556	0.745	Africa	AGR	NS	3	Tropical deciduous forest/woodland	61.3	100	Sea	54.8	938.81	149.47	572.42
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu	3655	2310	-6.750091	34.00862	134	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,CentralKenyaBantu	17	1573	-3.913908	34.32075	9	BT	247	111	317.61184271871	0.431	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	1283.34	89.06	416
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NorthMozambiqueBantu	15	1931	-10.86342	32.41714	17	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NorthMozambiqueBantu,Chuwaboic	3	1235	-13.67296	34.68727	6	BT	171	98	398.473468111564	0.573	Africa	AGR	NS	3	Tropical deciduous forest/woodland	52.4	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	57.1	1095.4	296.68	735.6
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu	3655	2310	-6.750091	34.00862	134	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,Kilimanjaro-Taita	12	1828	-5.488459	35.33431	9	BT	247	88	203.112329219377	0.421	Africa	AGR	EW	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	1145.57	69.59	395.36
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,GreaterLega	21	1867	-6.642823	29.99207	13	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,GreaterLega,Mituku-Lega	12	1683	-4.947118	28.9349	8	BT	162	167	222.124831484969	1.207	Africa	AGR	NS	3	Tropical deciduous forest/woodland	54.2	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	70.8	1073.56	193.17	883.25
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu	3655	2310	-6.750091	34.00862	134	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,Sukuma-Nyamwezi(F.20)	3	1234	-5.08559	32.94452	5	MD	247	77	219.577637409213	0.204	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	1260.59	48.74	478
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,Botatwe	8	1161	-11.21659	28.90717	10	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,Botatwe,WesternBotatwe	1	488	-12.67013	28.88101	4	BT	137	97	161.83241224079	0.24	Africa	AGR	NS	3	Tropical deciduous forest/woodland	100	100	Sea	100	1219.43	77.17	656
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,Luban	17	1987	-5.010945	20.60346	14	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,Luban,Luba-Kaonde	19	1474	-5.925138	24.19925	9	BT	258	196	411.245774290534	0.802	Africa	AGR	EW	2	Tropical semi-deciduous forest	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	553.46	42.84	1399.23
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,SouthernBantu	56	2243	-13.374	31.24314	27	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,SouthernBantu,NuclearSouthernBantu	13	2042	-17.34935	31.13268	19	BT	187	251	442.692676901228	2.202	Africa	AGR	NS	3	Tropical deciduous forest/woodland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	831.9	390.04	671
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,Botatwe	8	1161	-11.21659	28.90717	10	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,Botatwe,GreaterEasternBotatwe	3	958	-13.3522	27.42328	6	BT	137	161	287.342278816437	1.415	Africa	AGR	NS	3	Tropical deciduous forest/woodland	100	100	Sea	100	1181.4	55.5	705.03
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,SouthernBantu	56	2243	-13.374	31.24314	27	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,SouthernBantu,Shona(S.10)	3	1070	-18.1927	32.8052	8	MD	187	77	561.890191312252	0.479	Africa	AGR	NS	3	Tropical deciduous forest/woodland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	766.72	138.72	633.86
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,B10-B30	6	2679	0.771128	11.34488	7	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,B10-B30,Okani(B.30)	9	1383	-1.28107	11.1783	6	MD	131	77	229.200911673617	0.177	Africa	AGR	NS	1	Tropical evergreen forest	100	1	Tropical & Subtropical Moist Broadleaf Forests 	100	519.97	49.24	1190
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,Rufiji-Ruvuma	21	1448	-9.987368	33.70248	14	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,Rufiji-Ruvuma,Rufijic	14	1191	-10.38644	35.45647	9	BT	195	128	197.242571936345	0.767	Africa	AGR	EW	5	Temperate conifer forest	54.5	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	40.9	1214.07	373.13	789.45
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NorthMozambiqueBantu	15	1931	-10.86342	32.41714	17	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NorthMozambiqueBantu,Makua-Lomwe	3	836	-12.44798	35.12783	8	BT	171	138	344.159103360381	0.314	Africa	AGR	EW	3	Tropical deciduous forest/woodland	80.6	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	61.1	1092.33	298.87	799.89
Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,GreaterLuyana	3	547	-11.35908	21.06688	6	BT	Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,GreaterLuyana,WesternGreaterLuyana	2	520	-12.63546	21.52489	4	BT	113	90	150.583868635417	5.577	Africa	AGR	NS	3	Tropical deciduous forest/woodland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	1111.15	12.21	1207.71
